Text Length,Pattern Length,Time (s)
100,10,0.0
100,50,0.0
100,100,0.0
100,500,0.0
1000,10,0.0
1000,50,0.0
1000,100,0.0
1000,500,0.0009999275207519531
5000,10,0.0009999275207519531
5000,50,0.0010001659393310547
5000,100,0.0010006427764892578
5000,500,0.0010004043579101562
10000,10,0.0009999275207519531
10000,50,0.00099945068359375
10000,100,0.0010004043579101562
10000,500,0.0009992122650146484
50000,10,0.00800013542175293
50000,50,0.016008615493774414
50000,100,0.009030342102050781
50000,500,0.00901937484741211
100000,10,0.019163131713867188
100000,50,0.018201351165771484
100000,100,0.017241239547729492
100000,500,0.017001628875732422
